title_de,title_ru
"Bauern- und Wochenmarkt","Фермерский и еженедельный рынок"
"Stammtisch der Postsenioren","Постоянная компания почтовых пенсионеров"
"Geführte Bergtour - Alpine PREMIUM Wanderung ""Chiemseeblick"" - Ein Erlebnis mit unserem OUTDOOR-TEAM","Экскурсия в горы — альпийский PREMIUM поход «Вид на озеро Кимзее» — приключение с нашей OUTDOOR-TEAM"
"Lykke Eira - Zwergenreise für Kindergärten & Schulen | Buchfink-Theater","Lykke Eira — путешествие гномов для детских садов и школ | Театр Buchfink"
"Wanderherbst Spurensuche mit der Linse","Осенний поход В поисках следов с помощью объектива"
"Mit allen Sinnen die Natur erleben - Raus aus dem Alltag-rein in die Natur!","Исследуйте природу всеми чувствами — выйдите из повседневной жизни и погрузитесь в природу!"
"Herbstmarkt am Naturpavillon","Осенний рынок в природном павильоне"
"Skizzen zeichnen rund um das Kloster Seeon - Für Anfänger und Fortgeschrittene","Рисование эскизов вокруг монастыря Зеон — для начинающих и продвинутых"
"Skizzen zeichnen rund um das Kloster Seeon","Рисование эскизов вокруг монастыря Зеон"
"""Wenn Bilder reden"" - Ausstellung","«Когда картины говорят» — выставка"
"Tag der Ausbildung - Truna 2025","День образования — Truna 2025"
Pflanzentauschmarkt,"Рынок обмена растениями"
"""Von Nonnen, Genossen und anderen Haubentauchern""","«О монахинях, товарищах и других нырках»"
"Grassauer Kaffeestammtisch","Кофейный стол в Грассау"
"Boarisch Bier 1x1 - Private Landbrauerei Schönram","Баварское пиво 1x1 — частная пивоварня Schönram"
"Ortsspaziergang durch Ruhpolding","Прогулка по Рупольдингу"
"Spielenachmittag in Seeon","Игровой день в Зеоне"
"Feierabendrunde mit Sepp Auer - Die Berge Erleben zur Gscheurer Wand","Вечерняя прогулка с Сеппом Ауэром — знакомство с горами у Гшеуэр-Ванд"
"Pupsine entdeckt die Welt der Bücher","Пупсине открывает для себя мир книг"
"Im Schatten der Kastellmauer - Spätantiker Nachmittag in Bedaium","В тени крепостной стены — позднеантичный день в Бедайоне"
"Krimitour - Mord im Moor?","Криминальный тур — убийство на болоте?"
"Bergen: Kleiner Markt","Берген: небольшой рынок"
"Tag der offenen Tür & Hofladen Huber in der Zell","День открытых дверей и фермерский магазин Хубер в Целле"
"Spielende Bücherei","Игровая библиотека"
"Bergen: Musi in der Meindl Alm","Берген: музыка в Meindl Alm"
"Freies Tanzen","Свободные танцы"
"Rittbitten Wonneberg","Ритбиттен Воннеберг"
"Musikkabarett mit Stefan Schimmel & Volker Schach","Музыкальный кабаре с Стефаном Шиммелем и Фолькером Шахом"
"Treffen Fotofreunde Fridolfing","Встреча любителей фотографии в Фридольфинге"
"DEC Frillensee Inzell - Trostberg Chiefs","DEC Frillensee Inzell - Trostberg Chiefs"
"Chris May - Live im Foglwuid","Крис Мэй - Live im Foglwuid"
"Fondue-Restaurant: Fonduevariationen über die kalten Wintermonate","Ресторан фондю: вариации фондю в холодные зимние месяцы"
"68. Traditionelle Herbstjagd auf Herrenchiemsee","68-я традиционная осенняя охота на Херренкимзее"
"Altpapier- und Altkleidersammlung","Сбор макулатуры и старой одежды"
Feldenkrais-Workshop,"Семинар по методу Фельденкрайса"
"Pilzlehrwanderung im Achental - Entdecke die Welt der Pilze","Экскурсия по Ахенталь с изучением грибов - Откройте для себя мир грибов"
"Bayerische Turnliga","Баварская спортивная лига"
Kinderflohmarkt,"Детский блошиный рынок"
"Portrait Malen für Anfänger und Fortgeschrittene","Рисование портретов для начинающих и продвинутых"
"Pflanzenbörse & Gartenflohmarkt","Биржа растений и садовый блошиный рынок"
"Tun, was ich wirklich will!","Делать то, что я действительно хочу!"
"Obacht, Bayern! Ein Land und sein Klischee in historischen Humorpostkarten","Внимание, Бавария! Страна и ее клише в исторических юмористических открытках"
"Gartenbauverein Grabenstätt: Pflanzentausch","Садоводческое общество Грабенштетт: обмен растениями"
"Bergen. Kräuter-Wanderung für Kinder - Wilde Kräuterapotheke","Берген. Экскурсия по сбору трав для детей — дикая травяная аптека"
Kürbisfest,"Праздник тыквы"
"Bergen: Kinderkleider- und Spielzeugflohmarkt","Берген: детский блошиный рынок одежды и игрушек"
"Internationale Saisoneröffnung","Международное открытие сезона"
"Achtsamkeitswanderung auf die Baumgartner-Alm","Экскурсия по Баумгартнер-Альм с практикой осознанности"
"Almabtrieb Raiten","Спуск скота с пастбищ в Райте"
"11. Chiemgau Wintersport-Messe","11-я выставка зимних видов спорта в Кимгау"
"Herbstliches vor der Tür","Осень на пороге"
"Landgang mit Tiefgang: Wie aus zwei Inseln eine Halbinsel wurde!","Высадка на берег с глубоким смыслом: как два острова стали полуостровом!"
"FAMILIEN-WORKSHOP Lightpainting: Malen mit Licht","СЕМЕЙНЫЙ СЕМИНАР Лайтпейнтинг: рисование светом"
"Wonneberger Straßenlauf","Уличный забег в Воннеберге"
"ELEFANTENPARADE - KEIN SPASS OHNE BASS","ПАРАД СЛОНОВ — НЕТ ВЕСЕЛЬЯ БЕЗ БАСОВ"
"Lykke Eira - Zwergenreise | Buchfink-Theater","Lykke Eira — Путешествие гномов | Театр Buchfink"
Abend-Flohmarkt,"Вечерний блошиный рынок"
"Literaten in Traunstein - literarischer Spaziergang","Литераторы в Траунштайне — литературная прогулка"
"Fußball-Spiel - FC Reit im Winkl gegen den SG Schönau 2","Футбольный матч — FC Reit im Winkl против SG Schönau 2"
"Stoamandl Kinderkino","Детский кинотеатр Stoamandl"
"Leuchtenberg-Gedenkandacht 2025","Память о Леугенберге 2025"
"Wie funktioniert eine Orgel? – Kennenlernen der Staller-Orgel in der Ruhpoldinger Pfarrkirche","Как устроен орган? — Знакомство с органом Сталлера в приходской церкви Рупольдинга"
"Vortrag: Im Norden Amerikas unterwegs","Лекция: Путешествие по северной Америке"
"Salsa - Dancenight im PAPILLON","Сальса — танцевальный вечер в PAPILLON"
"Italienische Lebensfreude beim Kulturbredl","Итальянская радость жизни в Kulturbredl"
"Da Huaba und i - Bayerisches Musikkabarett","Da Huaba und i — баварский музыкальный кабаре"
"Volle Kontrolle | Christine Eixenberger","Полный контроль | Кристина Эйксенбергер"
"Flohmarkt in Bergen","Блошиный рынок в Бергене"
"Sonntags- und Dankmesse anlässlich des 92. Geburtstages seiner Durchlaucht Nikolaus Herzog von Leuchtenberg","Воскресная и благодарственная месса по случаю 92-летия Его Светлости Николая, герцога Леухтенбергского"
"Vogelbeobachtung am Turm Seebruck","Наблюдение за птицами на башне Зеебрук"
"Siegsdorfer Dorfschießen 2025","Сельская стрельба в Зигсдорфе 2025"
"Traunsteiner Apfelmarkt","Яблочный рынок в Траунштайне"
